Driver,LapTime,Sector1Time,Sector2Time,Sector3Time
NOR,0 days 00:01:43.566000,0 days 00:00:27.457000,0 days 00:00:31.108000,0 days 00:00:45.001000
NOR,0 days 00:02:18.646000,0 days 00:00:37.234000,0 days 00:00:39.695000,0 days 00:01:01.717000
NOR,0 days 00:02:28.677000,0 days 00:00:50.866000,0 days 00:00:40.397000,0 days 00:00:57.414000
NOR,0 days 00:02:26.575000,0 days 00:00:35.701000,0 days 00:00:45.966000,0 days 00:01:04.908000
NOR,0 days 00:02:25.105000,0 days 00:00:37.817000,0 days 00:00:46.096000,0 days 00:01:01.192000
NOR,0 days 00:01:48.631000,0 days 00:00:26.449000,0 days 00:00:29.753000,0 days 00:00:52.429000
NOR,0 days 00:02:29.965000,0 days 00:00:34.087000,0 days 00:00:51.220000,0 days 00:01:04.658000
NOR,0 days 00:02:27.449000,0 days 00:00:40.381000,0 days 00:00:45.283000,0 days 00:01:01.785000
NOR,0 days 00:02:19.874000,0 days 00:00:35.481000,0 days 00:00:44.201000,0 days 00:01:00.192000
NOR,0 days 00:02:28.010000,0 days 00:00:34.900000,0 days 00:00:44.186000,0 days 00:01:08.924000
NOR,0 days 00:01:38.957000,0 days 00:00:26.404000,0 days 00:00:29.748000,0 days 00:00:42.805000
NOR,0 days 00:01:38.751000,0 days 00:00:26.281000,0 days 00:00:29.536000,0 days 00:00:42.934000
NOR,0 days 00:01:39.022000,0 days 00:00:26.441000,0 days 00:00:29.671000,0 days 00:00:42.910000
NOR,0 days 00:01:39.094000,0 days 00:00:26.534000,0 days 00:00:29.764000,0 days 00:00:42.796000
NOR,0 days 00:01:39.166000,0 days 00:00:26.484000,0 days 00:00:29.733000,0 days 00:00:42.949000
NOR,0 days 00:01:39.300000,0 days 00:00:26.467000,0 days 00:00:29.930000,0 days 00:00:42.903000
NOR,0 days 00:01:39.280000,0 days 00:00:26.523000,0 days 00:00:29.856000,0 days 00:00:42.901000
NOR,0 days 00:01:39.501000,0 days 00:00:26.579000,0 days 00:00:29.952000,0 days 00:00:42.970000
NOR,0 days 00:01:39.854000,0 days 00:00:26.660000,0 days 00:00:30.088000,0 days 00:00:43.106000
NOR,0 days 00:01:39.721000,0 days 00:00:26.620000,0 days 00:00:29.898000,0 days 00:00:43.203000
NOR,0 days 00:01:40.701000,0 days 00:00:26.593000,0 days 00:00:29.912000,0 days 00:00:44.196000
NOR,0 days 00:01:39.932000,0 days 00:00:26.832000,0 days 00:00:29.971000,0 days 00:00:43.129000
NOR,0 days 00:01:39.435000,0 days 00:00:26.601000,0 days 00:00:29.897000,0 days 00:00:42.937000
NOR,0 days 00:01:39.437000,0 days 00:00:26.598000,0 days 00:00:29.868000,0 days 00:00:42.971000
NOR,0 days 00:01:39.718000,0 days 00:00:26.651000,0 days 00:00:29.993000,0 days 00:00:43.074000
NOR,0 days 00:01:40.113000,0 days 00:00:26.743000,0 days 00:00:30.094000,0 days 00:00:43.276000
NOR,0 days 00:01:39.646000,0 days 00:00:26.612000,0 days 00:00:29.888000,0 days 00:00:43.146000
NOR,0 days 00:01:39.716000,0 days 00:00:26.684000,0 days 00:00:29.836000,0 days 00:00:43.196000
NOR,0 days 00:01:40.177000,0 days 00:00:26.911000,0 days 00:00:30.028000,0 days 00:00:43.238000
NOR,0 days 00:01:39.949000,0 days 00:00:26.621000,0 days 00:00:29.966000,0 days 00:00:43.362000
NOR,0 days 00:01:39.944000,0 days 00:00:26.698000,0 days 00:00:30.061000,0 days 00:00:43.185000
NOR,0 days 00:01:40.208000,0 days 00:00:26.643000,0 days 00:00:30.219000,0 days 00:00:43.346000
NOR,0 days 00:01:40.217000,0 days 00:00:26.716000,0 days 00:00:30.125000,0 days 00:00:43.376000
NOR,0 days 00:01:40.686000,0 days 00:00:26.901000,0 days 00:00:30.149000,0 days 00:00:43.636000
NOR,0 days 00:01:40.284000,0 days 00:00:26.745000,0 days 00:00:30.258000,0 days 00:00:43.281000
HAM,0 days 00:01:44.135000,0 days 00:00:27.777000,0 days 00:00:31.721000,0 days 00:00:44.637000
HAM,0 days 00:01:42.906000,0 days 00:00:27.516000,0 days 00:00:31.429000,0 days 00:00:43.961000
HAM,0 days 00:01:43.013000,0 days 00:00:27.290000,0 days 00:00:31.303000,0 days 00:00:44.420000
HAM,0 days 00:01:43.499000,0 days 00:00:27.586000,0 days 00:00:31.314000,0 days 00:00:44.599000
HAM,0 days 00:01:43.467000,0 days 00:00:27.510000,0 days 00:00:31.423000,0 days 00:00:44.534000
HAM,0 days 00:01:44.056000,0 days 00:00:27.593000,0 days 00:00:31.549000,0 days 00:00:44.914000
HAM,0 days 00:01:43.769000,0 days 00:00:27.507000,0 days 00:00:31.695000,0 days 00:00:44.567000
HAM,0 days 00:01:47.942000,0 days 00:00:27.422000,0 days 00:00:31.115000,0 days 00:00:49.405000
HAM,0 days 00:01:58.909000,0 days 00:00:45.205000,0 days 00:00:30.064000,0 days 00:00:43.640000
HAM,0 days 00:01:41.409000,0 days 00:00:26.848000,0 days 00:00:30.842000,0 days 00:00:43.719000
HAM,0 days 00:01:41.904000,0 days 00:00:26.938000,0 days 00:00:30.884000,0 days 00:00:44.082000
HAM,0 days 00:01:41.927000,0 days 00:00:27.321000,0 days 00:00:30.655000,0 days 00:00:43.951000
HAM,0 days 00:01:41.720000,0 days 00:00:27.232000,0 days 00:00:30.537000,0 days 00:00:43.951000
HAM,0 days 00:01:42.314000,0 days 00:00:27.361000,0 days 00:00:30.746000,0 days 00:00:44.207000
HAM,0 days 00:01:42.531000,0 days 00:00:27.293000,0 days 00:00:30.770000,0 days 00:00:44.468000
HAM,0 days 00:01:42.223000,0 days 00:00:27.338000,0 days 00:00:30.584000,0 days 00:00:44.301000
HAM,0 days 00:01:42.564000,0 days 00:00:27.397000,0 days 00:00:30.752000,0 days 00:00:44.415000
HAM,0 days 00:01:42.854000,0 days 00:00:27.385000,0 days 00:00:30.912000,0 days 00:00:44.557000
HAM,0 days 00:01:43.115000,0 days 00:00:27.444000,0 days 00:00:30.921000,0 days 00:00:44.750000
HAM,0 days 00:02:02.779000,0 days 00:00:27.428000,0 days 00:00:32.924000,0 days 00:01:02.427000
HAM,0 days 00:02:29.397000,0 days 00:00:52.943000,0 days 00:00:41.990000,0 days 00:00:54.464000
HAM,0 days 00:02:13.536000,0 days 00:00:36.231000,0 days 00:00:39.784000,0 days 00:00:57.521000
HAM,0 days 00:02:13.117000,0 days 00:00:38.804000,0 days 00:00:37.536000,0 days 00:00:56.777000
HAM,0 days 00:01:54.977000,0 days 00:00:27.786000,0 days 00:00:33.306000,0 days 00:00:53.885000
HAM,0 days 00:02:27.219000,0 days 00:00:35.762000,0 days 00:00:41.631000,0 days 00:01:09.826000
HAM,0 days 00:01:55.435000,0 days 00:00:27.175000,0 days 00:00:30.710000,0 days 00:00:57.550000
HAM,0 days 00:02:27.598000,0 days 00:00:32.116000,0 days 00:00:51.255000,0 days 00:01:04.227000
HAM,0 days 00:02:24.889000,0 days 00:00:39.299000,0 days 00:00:46.869000,0 days 00:00:58.721000
HAM,0 days 00:02:21.100000,0 days 00:00:37.311000,0 days 00:00:44.312000,0 days 00:00:59.477000
HAM,0 days 00:02:22.834000,0 days 00:00:36.510000,0 days 00:00:44.378000,0 days 00:01:01.946000
HAM,0 days 00:01:41.118000,0 days 00:00:27.031000,0 days 00:00:30.408000,0 days 00:00:43.679000
HAM,0 days 00:01:40.857000,0 days 00:00:26.758000,0 days 00:00:30.465000,0 days 00:00:43.634000
HAM,0 days 00:01:40.835000,0 days 00:00:26.615000,0 days 00:00:30.525000,0 days 00:00:43.695000
HAM,0 days 00:01:40.908000,0 days 00:00:26.707000,0 days 00:00:30.558000,0 days 00:00:43.643000
HAM,0 days 00:01:41.289000,0 days 00:00:26.845000,0 days 00:00:30.726000,0 days 00:00:43.718000
HAM,0 days 00:01:41.215000,0 days 00:00:26.794000,0 days 00:00:30.790000,0 days 00:00:43.631000
